generation,best_fitness,best_exec_time_s,best_peak_v,best_reliability,best_slip,best_collisions
0,5.58334,2.41881,3.75255,1,0.0125247,0
1,5.58334,2.41881,3.75255,1,0.0125247,0
2,4.98079,2.52475,3.83908,1,0.0297748,0
3,4.93288,2.61613,3.70376,1,0.027208,0
4,4.93288,2.61613,3.70376,1,0.027208,0
5,4.60014,3.12494,3.08325,1,0.0413595,0
6,4.538,2.86069,3.27495,1,0.0366939,0
7,4.538,2.86069,3.27495,1,0.0366939,0
8,4.538,2.86069,3.27495,1,0.0366939,0
9,4.538,2.86069,3.27495,1,0.0366939,0
10,4.48146,3.09713,3.11269,1,0.0448354,0
11,4.45786,3.30756,2.95964,1,0.030916,0
12,4.39403,2.84063,3.31811,1,0.025999,0
13,4.39403,2.84063,3.31811,1,0.025999,0
14,4.39403,2.84063,3.31811,1,0.025999,0
15,4.39403,2.84063,3.31811,1,0.025999,0
16,4.38677,2.85931,3.30634,1,0.0422953,0
17,4.38677,2.85931,3.30634,1,0.0422953,0
