rank,fitness,length_mm,width_mm,wheel_dia_mm,track_mm,mass_g,mu,has_fan,fan_W,a_lat_max,v_max,mean_exec_time_s,mean_slip,mean_collisions,reliability
1,4.3868,96.5202,59.6944,21.4251,45.1298,137.4097,0.8606,0,11.0013,19.9532,3.6406,2.8593,0.0423,0.0000,1.0000
2,4.3940,86.0698,60.5386,28.0392,56.5849,120.6861,1.0615,0,15.7585,23.4694,5.1250,2.8406,0.0260,0.0000,1.0000
3,4.4400,105.4676,57.5135,25.4883,45.1307,141.6829,0.9086,0,20.3257,18.4829,4.8853,3.1959,0.0260,0.0000,1.0000
4,4.4421,81.2704,58.1999,25.0952,59.4055,137.4742,0.7468,1,13.6669,16.1105,4.4505,3.3083,0.0308,0.0000,1.0000
5,4.4429,97.4792,58.7826,22.2616,47.0870,125.7397,0.8093,0,17.4926,20.8428,4.3965,2.8499,0.0401,0.0000,1.0000
6,4.4715,95.5936,60.7226,21.2319,45.0000,157.7407,0.8385,0,8.8533,18.2244,4.5080,3.0995,0.0348,0.0000,1.0000
7,4.5022,97.2891,58.6890,26.6257,46.8011,129.9496,0.8303,0,19.4845,19.7492,4.4965,3.0357,0.0303,0.0000,1.0000
8,4.8158,91.0363,58.8377,23.7653,50.7260,133.8122,0.7000,0,15.2701,18.0342,4.9539,3.1507,0.0312,0.0000,1.0000
9,4.8497,96.8668,59.4442,22.0116,48.3607,134.4479,0.7694,0,16.7933,18.0102,4.4152,3.0568,0.0401,0.0000,1.0000
10,4.9621,77.5300,59.3160,25.4755,75.9305,141.1544,0.7151,0,17.1025,20.6036,4.3897,2.9968,0.0285,0.0000,1.0000
